subject,text,category
"Urgent: You won $10,000,000 in international lottery!","Congratulations! You have been selected to claim $10,000,000 in cash prize. Send your bank details immediately to claim your money now! Exclusive limited time cash award winner!","Spam"
"Click here for free bitcoin giveaway and double your crypto","Double your bitcoin balance in 24 hours with our revolutionary investment platform. Guaranteed 500% ROI. Deposit BTC now to participate in limited air drop.","Spam"
"Exclusive Weight Loss Pills - Lose 20 lbs in 5 Days!","Try our miracle slimming pill today! No diet, no exercise needed. Click link below to claim free trial bottle before stock runs out. Limited quantities available.","Spam"
"Your password has expired - Update credentials immediately","Your online account security is compromised. Click this unverified link immediately to re-verify your password and login info or your account will be deleted permanently.","Spam"
"Hot Single Ladies Looking to Connect Near You","Meet local singles in your area tonight! No credit card required to chat. Instant matches waiting for your response right now. Click to join free.","Spam"
"Claim your free gift card worth $500 from Amazon!","You have been awarded a complimentary $500 gift card! Complete a short 2-minute survey now to claim your code. Offer expires in 1 hour.","Spam"
"Urgent Security Warning: Unauthorized Access Detected","We noticed a login attempt from an unknown device in Russia. Click here to confirm your identity or your banking access will be locked within 12 hours.","Spam"
"Buy Cheap Prescription Medications Online Without Rx","Order generic Viagra, Cialis, and pain relief pills online at 80% discount. Fast discreet worldwide shipping with no doctor prescription needed.","Spam"
"Make $5,000 per week working from home effortlessly!","No experience required! Simple online data entry jobs paying $500 per day. Guaranteed income stream with zero initial investment. Sign up now.","Spam"
"URGENT: Project Alpha Deliverables Due Today EOD","Hi Team, please ensure all final code reviews and integration test reports for Project Alpha are submitted by 5 PM today. The executive client demo is scheduled for tomorrow morning.","Important"
"Board Meeting Agenda and Quarterly Strategy Alignment","Dear All, attached is the finalized agenda for our upcoming quarterly board meeting. Please review section 4 on capital allocation prior to the call.","Important"
"Action Required: Final Approval for Q3 Infrastructure Budget","Please review and approve the attached cloud server infrastructure budget by end of day. Finance needs final authorization before provisioning additional resources.","Important"
"Production Outage Alert: Primary Database Failover Triggered","Incident report: Database cluster node 2 experienced high latency causing automatic failover to primary replica. DevOps team is actively investigating latency spikes.","Important"
"Urgent: Compliance Audit Findings & Required Remediation","Our internal security audit flagged three critical vulnerabilities in API authentication. Remediation must be completed within 48 hours to meet SOC2 compliance standards.","Important"
